x	y
	
0	0
	
-298.394494	588.0267797
	
-298.9739562	592.9930886
	
-299.7450103	597.931933
	
-300.5840406	602.8610332
	
-301.4690641	607.7816564
	
-302.4424008	612.6860031
	
-303.4157361	617.5903499
	
-303.6339496	622.5590696
	
-303.5048006	627.5574014
	
-303.3412719	632.5521056
	
-302.4243809	637.4673179
	
-301.5074907	642.3825302
	
-300.5906012	647.2977426
	
-299.2953479	652.1232033
	
-297.9068921	656.9265554
	
-296.5184376	661.7299076
	
-294.9619425	666.4807632
	
-293.3691483	671.2202786
	
-292.0046315	676.0275474
	
-291.3258992	680.9437972
	
-291.2826877	685.9436105
	
-292.9220235	690.6657612
	
-294.949869	695.2087816
	
-297.514431	699.5009864
	
-300.309783	703.6258096
	
-303.5930621	707.3967625
	
-306.8763383	711.1677168
	
-310.1596117	714.9386724
	
-313.697838	718.4695804
	
-317.264451	721.9737601
	
-320.8310613	725.4779414
	
-324.4663189	728.9031166
	
-328.4341236	731.945571
	
-332.4499004	734.9185625
	
-336.700305	737.5518239
	
-340.9507072	740.1850874
	
-345.6487323	741.8309282
	
-350.4304528	743.2921431
	
-355.212172	744.7533606
	
-360.1451816	745.5499419
	
-365.0993314	746.1428692
	
-370.0989565	746.0816465
	
-375.0680703	745.7499693
	
-379.9556744	744.6957778
	
-384.8432798	743.641589
	
-389.7308866	742.5874027
	
-394.3950923	740.7875954
	
-399.0571361	738.9805679
	
-403.6957925	737.1312469
	
-407.7047774	734.1432658
	
-411.7137651	731.1552864
	
-415.5088271	727.9150921
	
-419.1109628	724.4474403
	
-422.7131012	720.9797899
	
-426.3152424	717.5121408
	
-429.6679209	713.8127615
	
-432.861062	709.9651847
	
-436.0542057	706.1176088
	
-438.1214661	701.5872858
	
-440.057158	696.9771776
	
-441.5491791	692.2469345
	
-442.2040032	687.2899994
	
-442.8588277	682.3330644
	
-443.4685901	677.3721323
	
-443.6964987	672.3773291
	
-443.9244072	667.382526
	
-444.1523157	662.3877229
	
-444.3802242	657.3929198
	
-444.6081326	652.3981168
	
-444.836041	647.4033138
	
-445.0639494	642.4085108
	
-445.349879	637.4167554
	
-445.6465387	632.4255637
	
-445.9431985	627.434372
	
-446.2398583	622.4431804
	
-446.5365181	617.4519887
	
-446.833178	612.4607971
	
-447.1298379	607.4696056
	
-447.4264979	602.478414
	
-447.7231579	597.4872225
	
-448.019818	592.496031
	
-448.3164781	587.5048396
	
-448.6131382	582.5136481
	
-448.9097984	577.5224567
	
-449.2064587	572.5312653
	
-449.5031189	567.540074
	
-449.7997793	562.5488827
	
-450.0959938	557.5576646
	
-450.392139	552.5664424
	
-450.6882842	547.5752203
	
-450.9844294	542.5839981
	
-451.2805747	537.592776
	
-451.57672	532.6015539
	
-451.8728654	527.6103319
	
-452.1690108	522.6191099
	
-452.4651563	517.6278879
	
-452.7613018	512.6366659
	
-453.0439156	507.644667
	
-453.3208662	502.652343
	
-453.5978169	497.6600191
	
-453.8747677	492.6676952
	
-454.1517184	487.6753713
	
-454.4286692	482.6830474
	
-455.118037	477.7320283
	
-456.4173488	472.9204805
	
-457.9790535	468.1706301
	
-459.5407595	463.42078
	
-461.774082	458.9483624
	
-464.0197964	454.4810633
	
-466.2655128	450.0137646
	
-468.5112313	445.5464664
	
-470.7569518	441.0791687
	
-472.9006357	436.5622987
	
-475.0245316	432.0358146
	
-477.1484293	427.5093309
	
-479.272329	422.9828477
	
-481.3962307	418.4563649
	
-483.5201343	413.9298825
	
-485.6202421	409.3924211
	
-487.6859452	404.839086
	
-489.7516501	400.2857513
	
-491.8173569	395.7324171
	
-493.8830656	391.1790832
	
-495.9487762	386.6257497
	
-498.0144887	382.0724167
	
-499.9083474	377.4503341
	
-501.5531213	372.7286062
	
-503.1978966	368.0068784
	
-504.8426734	363.285151
	
-506.4874517	358.5634237
	
-508.2543384	353.8882757
	
-510.1720914	349.2706767
	
-512.0898461	344.6530781
	
-514.0076026	340.0354798
	
-516.461838	335.7014939
	
-519.1976764	331.5163786
	
-522.524052	327.8020927
	
-525.9946469	324.2027906
	
-529.6612522	320.8037983
	
-533.3349642	317.4120672
	
-537.0050433	314.0167699
	
-540.3268616	310.2797242
	
-543.6486825	306.5426796
	
-546.9705062	302.8056362
	
-550.1276893	298.9461851
	
-552.7496103	294.6887769
	
-555.3715337	290.4313693
	
-557.8452967	286.100478
	
-559.6480086	281.436764
	
-561.4507221	276.7730504
	
-562.817597	271.9918975
	
-563.6021388	267.0538317
	
-564.2060463	262.1034553
	
-564.0987241	257.1046072
	
-563.9914016	252.1057591
	
-563.367125	247.16079
	
-562.4413405	242.2472451
	
-561.5155548	237.3337004
	
-560.119168	232.5368063
	
-558.6428843	227.7597166
	
-557.1665988	222.9826272
	
-555.3376558	218.3310614
	
-553.4636685	213.6955283
	
-551.589679	209.0599958
	
-549.7156873	204.4244637
	
-547.8416935	199.7889322
	
-545.9100001	195.1778113
	
-543.8882497	190.6047904
	
-541.866497	186.0317701
	
-539.8447421	181.4587504
	
-537.8229849	176.8857313
	
-535.8191305	172.3048521
	
-533.8203623	167.7217397
	
-531.8215918	163.1386279
	
-529.822819	158.5555166
	
-527.824044	153.9724059
	
-525.8252667	149.3892958
	
-523.9196969	144.766689
	
-522.0167672	140.142963
	
-520.1138353	135.5192376
	
-518.2109012	130.8955127
	
-516.3079649	126.2717883
	
-514.4050265	121.6480644
	
-512.5020859	117.0243411
	
-510.5991431	112.4006183
	
-508.6961982	107.7768961
	
-506.793251	103.1531744
	
-504.8903017	98.52945322
	
-502.9873502	93.90573259
	
-501.0663096	89.28974212
	
-499.0400396	84.71872219
	
-497.0137674	80.14770286
	
-494.9874929	75.57668412
	
-492.9612161	71.00566597
	
-490.9364961	66.43395892
	
-488.9160994	61.86033947
	
-486.8957004	57.28672061
	
-485.0338318	52.64976885
	
-483.3467141	47.94300409
	
-482.8229428	42.9712513
	
-482.8366628	37.97959498
	
-483.0992888	32.9875988
	
-483.4803706	28.00214223
	
-483.8614525	23.01668568
	
-484.2425345	18.03122917
	
-484.6236167	13.04577268
	
-485.004699	8.060316228
	
-485.3857814	3.074859803
	
-485.766864	-1.910596592
	
-486.2163097	-6.890151083
	
-486.695314	-11.86715372
	
-487.1743186	-16.84415632
	
-487.6533234	-21.82115888
	
-488.1323285	-26.79816141
	
-488.6113339	-31.77516391
	
-489.0903394	-36.75216637
	
-489.5693453	-41.7291688
	
-490.0483514	-46.7061712
	
-490.5273577	-51.68317356
	
-490.9675351	-56.66375707
	
-491.406888	-61.64441661
	
-491.8462411	-66.62507611
	
-492.2855944	-71.60573559
	
-492.724948	-76.58639503
	
-493.1643017	-81.56705444
	
-493.6036556	-86.54771382
	
-494.0430098	-91.52837317
	
-494.4823641	-96.50903248
	
-494.7891554	-101.4995103
	
